,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,0.06675565463709618,0.08394442338613473,0.07745955724682377,0.619796862755855,0.6305469267266006,0.6101973137324559
gamma_2 = 0.6,0.698732244523894,0.4827028093635892,0.1033520810741634,0.6140743685445031,0.5990918727112988,0.6580379391225212
gamma_2 = 0.7,0.3227787345460669,0.5370000657444306,0.05889196377457853,0.20315360482999167,0.6165497936907447,0.6049962122552384
gamma_2 = 0.8,0.550730443927993,0.2726456059410913,0.41203049078302056,0.5724237359632995,0.6123363024601798,0.5844416366360475
gamma_2 = 0.9,0.571652687543929,0.555493561702234,0.5242622043757578,0.5150542800498404,0.5909083936655347,0.6002788539111001
gamma_2 = 1.0,0.48987712812815815,0.10119830603314454,0.4446188957066575,0.2805384002821265,0.5069119383260527,0.5956488445619037
