,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,0.001681861349113836,0.002659486391682967,0.002264457073687627,0.1449815769103173,0.15005445659078795,0.1405253432177683
gamma_2 = 0.6,0.1842619412285577,0.0879374210245637,0.0040313687379084475,0.1423167483620459,0.1354568362105481,0.16342403867047264
gamma_2 = 0.7,0.03932094086949941,0.1088335384964716,0.0013089593039922352,0.015576258207193116,0.14346646100727908,0.13813997819807078
gamma_2 = 0.8,0.11447014712935694,0.02805505196728066,0.06407266423751358,0.12366572258307623,0.1415122664616806,0.12891289704334286
gamma_2 = 0.9,0.12333279424791656,0.11645875187107393,0.10373162237431961,0.10011982291287666,0.1317814828056149,0.13599412942630265
gamma_2 = 1.0,0.0905708405271394,0.003865098423729588,0.07460877394274251,0.029702889815858117,0.09697931467263586,0.13390434800260212
