,Training Loss,Test mse loss,Test_rel_l2_loss
0,626.0506273136125,0.41983192661960134,0.8686178546785328
1,623.2335192358587,0.41537853196377916,0.8594038997481197
2,620.4222885947129,0.41097293723945166,0.8502888696741058
3,617.6170334180497,0.40661880920527743,0.8412803850687889
4,614.8172833496353,0.4023189023930248,0.8323840432348428
5,612.0233273142946,0.3980707432132552,0.8235947071392538
6,609.2344159293134,0.3938701550807308,0.8149038904565804
7,606.4506521774492,0.38971413004186,0.8063051993555668
8,603.6720444577841,0.38560069078888165,0.7977945987036605
9,600.8979465993216,0.38152848776994874,0.7893693981393177
10,598.1285581276788,0.377496569144616,0.7810274800876869
11,595.3635183767801,0.373503838547551,0.7727666565329514
12,592.6026558698541,0.36954958840012186,0.7645854011032185
13,589.8458935171366,0.3656331213884206,0.7564824173542242
14,587.0930626770134,0.36175395981355796,0.7484565299064947
15,584.3438120276587,0.357911475337581,0.7405065789516954
16,581.5978857298032,0.3541053593506168,0.7326318282571833
17,578.8552141297259,0.35033520236240184,0.7248315481711565
18,576.1152706590692,0.34660075301236093,0.7171051165260565
19,573.378173410907,0.34290160804562414,0.7094517146664572
20,570.6434017603497,0.33923757135317106,0.7018709320305447
21,567.9107130819793,0.3356082954584735,0.6943620600234226
22,565.1796860446665,0.3320135364085293,0.6869245940496427
23,562.4503561015044,0.3284529514792231,0.6795579333449133
24,559.722127020359,0.3249262507365832,0.6722612858794861
25,556.9948589438573,0.3214332450346849,0.665034354107096
26,554.2681444334448,0.31797349970156763,0.6578762581923456
27,551.5417597352098,0.31454687826840383,0.6507867057395664
28,548.8151263913605,0.31115304888141965,0.6437650196234159
29,546.0882962844371,0.3077918276771944,0.6368107191701746
30,543.360610061849,0.30446298268362476,0.6299235149556495
31,540.6319478404511,0.30116623513495894,0.6231026449684265
32,537.9017493261235,0.2979014508367091,0.6163479169145489
33,535.1700784286949,0.29466839998576877,0.609658855159978
34,532.4360310068332,0.2914668537683913,0.6030348935468091
35,529.6996788355173,0.2882967245932851,0.5964760223901635
36,526.9604809536249,0.2851577833287895,0.5899816745986755
37,524.2183397349472,0.282049894323156,0.5835515603779449
38,521.4729854405197,0.2789729668932997,0.5771854786035533
39,518.7237178893156,0.2759269083584077,0.5708833143869221
40,515.9706253763034,0.27291171503457,0.5646449470987136
41,513.2131916212529,0.26992719839222634,0.5584701613747853
42,510.45151052276196,0.26697357485102957,0.5523591812374526
43,507.6847309023142,0.26405060470362396,0.5463116887857531
44,504.91295520501444,0.2611584053405143,0.5403278028038336
45,502.1357734538615,0.2582969990179227,0.5344076310450419
46,499.35303756065315,0.25546635939240525,0.5285511837387844
47,496.5646028011688,0.25266658784930773,0.5227585485304331
48,493.769904018558,0.24989764884012589,0.5170296311162339
49,490.96906050690467,0.24715963326210225,0.5113648421062322
50,488.16185502816006,0.2444525827868422,0.5057639809965373
51,485.34790675692784,0.24177657676684136,0.5002274331373293
52,482.52717654951647,0.23913173116034916,0.49475531515241755
53,479.6992937065661,0.23651815514131913,0.4893479824915836
54,476.86439396793503,0.23393603544730762,0.4840056081435229
55,474.02203243592885,0.23138550858239643,0.4787286823857393
56,471.1722687741021,0.22886682872604253,0.4735175939006844
57,468.31491679113606,0.22638024022405712,0.468372958757314
58,465.4500420444092,0.223926018999784,0.4632952895850764
59,462.57713763188804,0.22150451263150897,0.45828524037961316
60,459.6963599985211,0.21911597537587302,0.4533434420940843
61,456.80762191129924,0.21676081384794849,0.4484706628750388
62,453.9107588883817,0.21443942167181254,0.44366780436588726
