,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,5.646719092311514e-09,5.717502027380306e-09,1.0242171555319146e-08,3.862173514335154e-08,1.1407991884482271e-08,1.0224013635706797e-08
gamma_2 = 0.6,1.2467022081352752e-08,7.278083469230978e-09,5.839644767746677e-09,9.440872972277248e-09,4.896297056689036e-08,2.5799012703942026e-08
gamma_2 = 0.7,5.257570137473522e-06,6.079415015847189e-07,2.516454244982924e-08,1.3172531510008412e-07,4.547594656401088e-08,2.6487782633921597e-08
gamma_2 = 0.8,4.613397686625831e-05,0.0002296799939358607,6.977367092986242e-07,1.4643033807715256e-07,1.4598989572789378e-08,1.1357111162624278e-07
gamma_2 = 0.9,0.008744899183511734,0.00029887357959523797,0.2353467345237732,0.6253450512886047,2.564202361554635e-07,5.136173513164977e-07
gamma_2 = 1.0,0.00137570989318192,0.023841731250286102,0.2161240130662918,0.34327882528305054,0.29129183292388916,2.1187408947298536e-06
