,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,tensor(0.0003),tensor(0.0004),tensor(0.0003),tensor(0.0003),tensor(0.0003),tensor(0.0003)
gamma_2 = 0.6,tensor(0.0001),tensor(0.0002),tensor(0.0002),tensor(0.0003),tensor(0.0002),tensor(0.0002)
gamma_2 = 0.7,tensor(0.0005),tensor(0.0001),tensor(0.0001),tensor(0.0001),tensor(0.0002),tensor(0.0005)
gamma_2 = 0.8,tensor(0.0191),tensor(0.0085),tensor(0.0018),tensor(0.0004),tensor(0.0001),tensor(0.0003)
gamma_2 = 0.9,tensor(0.0530),tensor(0.3254),tensor(0.8144),tensor(1.0900),tensor(0.0002),tensor(0.0003)
gamma_2 = 1.0,tensor(0.3908),tensor(0.6831),tensor(0.7794),tensor(0.6409),tensor(0.0030),tensor(0.0014)
