,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,4.8936190211179564e-08,7.888105812980939e-08,5.198187835731005e-08,4.585238144727555e-08,3.923496194602194e-08,3.486865551849405e-08
gamma_2 = 0.6,7.680389657593878e-09,2.3671924864743232e-08,1.1850267433999306e-08,4.8875385516566894e-08,2.890521599852036e-08,1.3271002075043725e-08
gamma_2 = 0.7,1.1211624695306455e-07,7.7078698978994e-09,5.2308264386624614e-09,6.490810555703774e-09,1.5220601667920164e-08,1.251393513257426e-07
gamma_2 = 0.8,0.00017563087749294937,3.4719960240181535e-05,1.5237945945045794e-06,6.29320453526816e-08,9.605614081920066e-09,5.546520753796358e-08
gamma_2 = 0.9,0.0013568225549533963,0.05118448659777641,0.32053297758102417,0.5742915868759155,1.9415804075606502e-08,4.6820169075090234e-08
gamma_2 = 1.0,0.07382365316152573,0.2255282998085022,0.29363447427749634,0.19852383434772491,4.22774155595107e-06,8.833844162836613e-07
