,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,0.16237780336552884,0.0020763876767242295,0.04661822752988672,0.13868604850452154,0.16072831798273113,0.14624609837400512
gamma_2 = 0.6,0.13726794143020882,0.006275004348022667,0.006970195716740607,0.13273501136904392,0.13021245946623386,0.1320753243746064
gamma_2 = 0.7,0.05735572258783853,0.128770222106872,0.0035103130712611165,0.12724266345491705,0.13219234268383215,0.13393788928531397
gamma_2 = 0.8,0.1247987158452276,0.11652630920024565,0.001454272983216234,0.1030534000240844,0.12795137911224927,0.12228714053032241
gamma_2 = 0.9,0.11627549590975007,0.11155030022377879,0.001271350016382235,0.05197341623844169,0.12446859189406907,0.12063799628718826
gamma_2 = 1.0,0.0543061765013022,0.08793312798171553,0.01115610520997804,0.006613403909647919,0.11255562821222245,0.1130973761182453
