,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,0.6559281884720781,0.07417322895920771,0.35145590350202177,0.6061908143706557,0.6525881208505886,0.6224939119829044
gamma_2 = 0.6,0.6030836081010005,0.12894365594444102,0.13589874637292343,0.5930423523153056,0.587380108390713,0.5915668198844485
gamma_2 = 0.7,0.3898354610832088,0.5841181303779563,0.09644192928616499,0.5806431938124366,0.5918288250056947,0.5957234410019694
gamma_2 = 0.8,0.5750399562125932,0.5556546583135163,0.062074886209895375,0.5225455174164176,0.5822579804488495,0.5692242047538053
gamma_2 = 0.9,0.5550563357190885,0.5436611955232962,0.05803974966213344,0.3710937125542287,0.5742788900132777,0.5653729443614872
gamma_2 = 1.0,0.3793303375360751,0.4826910266144955,0.17192905049952203,0.13237485212572814,0.5461055273328597,0.5474181955210108
