,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,0.3821203707618042,0.07394461550507753,0.24644977610895136,0.5801535736652264,0.6080772225798463,0.5828779910999558
gamma_2 = 0.6,0.588679732197752,0.05926851484232498,0.5077779324797985,0.5804660416744728,0.5766004800781043,0.5699889217634895
gamma_2 = 0.7,0.6210240469180941,0.3340869233333378,0.08300110846733671,0.566709896856416,0.5986236150017118,0.5680158020355387
gamma_2 = 0.8,0.5762934944089179,0.5629355434632929,0.05449245310056998,0.46935821051675247,0.5705193727638045,0.5704890477216452
gamma_2 = 0.9,0.5675993960484024,0.5487936304885422,0.05537994037482538,0.17907981164573486,0.5618278233222351,0.5486224120227403
gamma_2 = 1.0,0.4769521842238673,0.4344336304236394,0.13643701712719253,0.23433923292195108,0.5345034573892641,0.524165259395237
