,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,0.05510797500608831,0.002063607900759059,0.02292297220183032,0.12702816234585387,0.1395505471413979,0.12822401927520707
gamma_2 = 0.6,0.13078930714632042,0.0013257516044661048,0.09731095119855514,0.12716503274650484,0.12547698394531762,0.12261593144066513
gamma_2 = 0.7,0.14555626595329574,0.04212433189641939,0.0026000509389903425,0.12120922266753242,0.135245169444819,0.12176848633565512
gamma_2 = 0.8,0.12534341006472602,0.11960006430589351,0.0011206933373813447,0.08314246775439851,0.12284425871520548,0.12283119988321006
gamma_2 = 0.9,0.12159001756455975,0.113666423744398,0.0011574947756114694,0.012103398421522173,0.11912983976918891,0.11359550909212227
gamma_2 = 1.0,0.08585463690373389,0.07122967239576769,0.007025520476038183,0.020725455292243435,0.10782391814851225,0.10369326244587182
