,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,7.350092801061692e-08,1.393245838698931e-07,3.977877938154961e-08,2.85685821665993e-08,4.410306075897097e-08,2.324098424821841e-08
gamma_2 = 0.6,3.76405502322541e-08,6.243796946137081e-08,7.660250389562862e-08,3.068136322781356e-08,3.1422288770954765e-08,3.017297345309089e-08
gamma_2 = 0.7,3.007056292858579e-08,6.169837973857284e-10,5.001471681254088e-09,2.2799239829396356e-08,1.7817260555830217e-08,5.423992277542311e-08
gamma_2 = 0.8,0.0002873147604987025,4.981505480827764e-05,3.860399147015414e-07,1.0255948978965534e-07,7.924806055825684e-08,4.581291790373143e-08
gamma_2 = 0.9,0.006970793008804321,0.011417603120207787,0.09682055562734604,0.557240903377533,6.003670005583217e-09,2.375907293128421e-08
gamma_2 = 1.0,0.12001266330480576,0.21651989221572876,0.33195969462394714,0.2170826941728592,1.6256836943284725e-07,7.037076557026012e-07
