,gamma_1 = 0.5,gamma_1 = 0.6,gamma_1 = 0.7,gamma_1 = 0.8,gamma_1 = 0.9,gamma_1 = 1.0
gamma_2 = 0.5,0.00038996266084723175,0.0005368964048102498,0.0002868813753593713,0.000243120186496526,0.00030207238160073757,0.0002192824613302946
gamma_2 = 0.6,0.000279064493952319,0.0003594190056901425,0.00039810544694773853,0.00025194979389198124,0.0002549737982917577,0.0002498536487109959
gamma_2 = 0.7,0.0002494292857591063,3.572839705157094e-05,0.00010172449401579797,0.00021718851348850876,0.00019199818780180067,0.00033499335404485464
gamma_2 = 0.8,0.024381229653954506,0.010152124799787998,0.0008937020902521908,0.00046064311754889786,0.00040492165135219693,0.0003078723093494773
gamma_2 = 0.9,0.12009301036596298,0.15369653701782227,0.44756942987442017,1.073737621307373,0.00011145128519274294,0.00022171312593854964
gamma_2 = 1.0,0.4982992112636566,0.6693072319030762,0.8287419080734253,0.67017662525177,0.0005799555219709873,0.0012066263007000089
